Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),SOUTHWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),SOUTHWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),NORTHWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),NORTHWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),EASTWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),EASTWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),WESTWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),WESTWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),FLOORSURFACE:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),FLOORSURFACE:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),ROOFSURFACE:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),ROOFSURFACE:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,-4.5,0.0,0.0,-61.71434911207376,198.7887697272463,-102.31666141486315,192.04403628631655,-53.96015888741573,130.13216528065942,-64.88659369678174,128.37233493949722,431.1979364279714,-417.1272148807582,-149.99768293027313,138.6571968331382,14.037563502288123 
 01/01  02:00:00,-3.0,0.0,0.0,-63.31107518261521,188.95942660211017,-102.74428336240564,182.5203424229451,-54.66485882731109,123.81767782982952,-65.20291309415848,121.83004687256653,433.9197192113279,-420.3856580999434,-149.75255310798147,54.355276719225856,14.01158017290188 
 01/01  03:00:00,-3.625,0.0,0.0,-65.42468946403366,200.47531240415336,-103.66946133409266,193.83663320530349,-55.68595105208573,131.15539658053422,-65.85507930790715,129.7960918731677,436.2426781691943,-423.53168163215605,-146.96511502412713,193.03919630049143,13.988346961205822 
 01/01  04:00:00,-2.75,0.0,0.0,-67.27580742386237,177.9257175191815,-104.32999638993937,172.17141545850575,-56.53676848761444,116.45430940862934,-66.35369995813778,114.99126351053215,439.0435970479796,-426.51952175053884,-146.32847139686965,-13.877349257015567,13.96282166995115 
 01/01  05:00:00,-2.0,0.0,0.0,-69.93784877578773,171.66982599205994,-105.80909530553225,165.73262729691177,-57.899508733061054,112.33370659266308,-67.37932751146263,110.72816882797242,440.51057104111896,-429.4062096577502,-140.1003678197623,-128.4843982734255,13.945170290454753 
 01/01  06:00:00,-1.375,0.0,0.0,-73.57178810278228,162.19958388808527,-108.30296011159851,156.73376824204712,-59.906333202822,106.1398614633732,-69.07056753990685,104.7241431110055,440.2048878777339,-432.01583027566517,-129.77548607789723,95.67744738546301,13.940060101969596 
 01/01  07:00:00,-1.0,0.0,0.0,-76.04531454639758,158.95286373072597,-109.64250678602215,153.57765108154112,-61.172043414611494,103.9909978830827,-70.02949277013255,102.60223368123994,441.5243728042194,-434.0536653022971,-125.74305192229205,21.549354441523832,13.926834530459391 
 01/01  08:00:00,-1.0,18.9375,156.9375,-78.31860885675815,12.785038112660018,-110.79529780429115,137.9135586737611,-62.304230488640485,-25.319484537009377,-70.8630905269435,91.83569849016146,442.8705821974777,-435.81297360153553,-121.21201679201532,-242.1136359109604,13.913332480713484 
 01/01  09:00:00,-0.375,80.5625,367.4375,-83.16575698398631,-105.35668972016347,-114.58452627487497,104.35823659584912,-65.09035987899847,-72.20005846726374,-73.37908659640146,69.34922704893674,439.7936873490164,-437.4228114287389,-101.21530476695659,-758.3972344264939,13.924976809674863 
 01/01  10:00:00,1.25,74.375,152.625,-90.09466703689881,-36.65865424121151,-120.77021667477948,84.77139677927623,-69.22068214714437,12.006616635561592,-77.46023940806003,56.67515029454979,432.55971838548385,-438.10923174879235,-72.81668179809628,-382.8958163989231,13.967149563442664 
 01/01  11:00:00,2.0,166.0,546.0,-97.0701171546365,-301.5204556918773,-127.73114026167252,44.703369987963725,-73.27211796266221,-54.60962996843858,-82.02233762723534,28.624359872619333,423.98370542440716,-437.15912152878354,-38.74668009553087,-1442.277304747085,14.012692535306261 
