Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),SOUTHWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),SOUTHWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),NORTHWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),NORTHWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),EASTWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),EASTWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),WESTWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),WESTWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),FLOORSURFACE:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),FLOORSURFACE:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),ROOFSURFACE:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),ROOFSURFACE:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,-4.5,0.0,0.0,-182.10798554084323,806.5463544685184,-357.636327950989,611.9742802303739,-187.1983667303149,451.9940290853421,-215.53268930186945,438.92086248946003,1043.180458438218,-997.3909321043282,-111.95778436647096,111.78678929829346,8.604392883519346 
 01/01  02:00:00,-3.0,0.0,0.0,-197.18034847694378,580.0329584189898,-360.02149026995403,414.02782585255517,-192.95250669151602,308.48487586115886,-217.4503459768132,307.4107876466223,1065.8362004786245,-1007.3789386868432,-110.89136267774506,22.035027715787635,8.436959307767271 
 01/01  03:00:00,-3.625,0.0,0.0,-211.64413854623183,688.6638481768971,-362.6024002019121,543.4158994517802,-198.44551467833338,400.93026327135703,-219.61603985521825,376.5017972999366,1087.524949692602,-1020.3488847323958,-107.31462911007836,156.92128486489895,8.266048094093113 
 01/01  04:00:00,-2.75,0.0,0.0,-224.05426356399556,557.6665402554303,-363.94416271480884,400.5219585395612,-202.71540779969104,309.40387212707157,-221.18859522412683,288.3210464739003,1106.5322636732942,-1035.4930885032334,-105.94449803919468,-50.842232850910136,8.105602200627747 
 01/01  05:00:00,-2.0,0.0,0.0,-235.67414680468556,518.3624340515062,-365.310811097522,353.7597595436826,-206.61634952042485,273.3074739275394,-222.91378459992595,259.90987944695615,1120.746800407011,-1051.7010637277197,-99.1329183636548,-172.84438310417204,7.970078427676247 
 01/01  06:00:00,-1.375,0.0,0.0,-246.9301152356834,388.6357927078489,-367.0620841187374,267.65516620400115,-210.47634795917043,207.5371121078973,-224.9733290391166,194.03193618112692,1130.272597721476,-1067.7028270767041,-88.1914748727952,61.4735608317128,7.863065616764486 
 01/01  07:00:00,-1.0,0.0,0.0,-255.81789963822587,369.9641737821326,-367.0012945043668,249.37920212372484,-212.94521840174917,195.59398850467267,-225.92869163220305,181.22693209510737,1138.8901013135783,-1082.4432236031923,-83.90063086155136,-19.97961282876463,7.767506682553432 
 01/01  08:00:00,-1.0,18.9375,156.9375,-263.5205835825684,-825.914240564198,-366.3215673976692,162.0824903684365,-214.7910353685308,-920.8284585001605,-226.494949190539,120.26443741049017,1145.079748777058,-1095.7339612364483,-79.13584272188274,-285.034469801408,7.6902839282090145 
 01/01  09:00:00,-0.375,80.5625,367.4375,-272.40771455223734,-2771.678484039919,-367.9198123438973,-204.48497894114837,-217.4397892315724,-2009.810060760924,-228.48623590793247,-125.57252752625612,1144.7480310464098,-1107.39071241731,-58.99427859316471,-803.1584830161759,7.6527318865095655 
 01/01  10:00:00,1.25,74.375,152.625,-279.1608533908254,-1192.138559277038,-373.0549147808083,-299.27560325535984,-217.89476103720267,-448.97833365849954,-232.72528469317032,-186.08004848257485,1135.8457463393574,-1116.4313511607097,-30.757775596297297,-426.3612233705252,7.671437821198271 
 01/01  11:00:00,2.0,166.0,546.0,-277.99233752664577,-5018.594414147795,-381.4046219860812,-843.2374051714576,-212.40712254931842,-1462.7709540297558,-238.96147471000754,-554.1225745130461,1117.7727259639585,-1121.5935018466303,2.4718092191649763,-1490.2029213879696,7.750001686277671 
 01/01  12:00:00,1.375,195.0625,280.875,-271.66833964422557,-1801.1744489615778,-395.16964110084604,-433.778372500807,-206.06378612011468,58.85343425072813,-248.66515689096062,-322.88338884919744,1085.5924994199831,-1121.5109784232889,47.15737706013823,719.6197266475795,7.912155805529755 
 01/01  13:00:00,2.25,200.125,92.75,-240.90563306818763,-244.33811496877604,-397.96152896611784,-466.2811286234926,-191.6846843279347,119.7740339045636,-251.2999267056928,-419.25360276686365,1062.6048674691538,-1114.677162661459,32.157541645144974,243.3819101098465,8.089258043437592 
 01/01  14:00:00,2.375,140.5625,15.0,-201.5711899811656,702.9962014836707,-399.26901551331605,-171.6926659596292,-179.5373150556849,204.5228411219689,-252.69875861803067,-173.18514295779391,1035.5620789859722,-1103.2732253419408,12.435275208164523,558.9080765855231,8.299204273348982 
 01/01  15:00:00,1.375,63.5,0.75,-164.72657751989237,1152.4869171490795,-397.0960589125187,305.65057018434675,-171.08030803342598,456.7138278979279,-251.32688110594367,206.46234843269235,1010.7129167460771,-1088.3110988562255,-13.042365173805631,566.0158890340185,8.504848214197134 
 01/01  16:00:00,1.0,44.1875,31.875,-137.8376323655748,702.2195983087192,-391.37005998345467,326.66237908258364,-165.72733633891806,406.3259799154681,-247.21109641000373,16.885815603672313,991.3176608921644,-1070.8415970045742,-37.41589611932492,188.3120187524876,8.681730588929671 
 01/01  17:00:00,0.375,8.4375,74.375,-124.38800457243855,657.7577892607999,-385.53751486474414,519.7093728627965,-163.98821658219717,500.4002744045622,-242.89677774160492,-34.981130687500354,975.955692550998,-1052.5755490212505,-49.7613554597313,379.7330776018369,8.832080382232025 
 01/01  18:00:00,-0.625,0.0,0.0,-118.97452737286721,1202.1010647566834,-378.6302053771805,676.4933208709226,-163.72176611684728,587.5961966846571,-237.06258363213152,536.2453850247006,968.0105741531479,-1034.8184075300978,-63.318874737577076,270.5959706480903,8.937210889829911 
 01/01  19:00:00,-1.625,0.0,0.0,-119.048940776654,1187.7093921951418,-372.5053328872641,763.8010133731332,-165.0152896376893,626.2503499926638,-230.2860325239584,568.0328141968328,965.011840918256,-1019.0005653247679,-74.1004299292141,243.8935375385526,9.005414416959796 
 01/01  20:00:00,-3.25,0.0,0.0,-123.80661039927095,1410.5750840582664,-367.5404856879204,1066.5583041580355,-167.46642819022338,827.0796150772453,-224.35602610706346,714.596275557491,966.6041659338457,-1006.0203306827236,-82.47232791939143,294.64892988828785,9.036440211135869 
 01/01  21:00:00,-4.625,0.0,0.0,-131.69903275522313,1420.8397493536397,-363.02485252766996,1128.3744165122625,-170.26348508434654,848.2155778415387,-219.71397314513914,755.1960870918082,973.7647739742015,-996.3436513357717,-91.39623944410519,285.5491764946829,9.024136723283695 
 01/01  22:00:00,-5.625,0.0,0.0,-142.01368881876238,1311.553647768718,-359.4784464935781,1041.430820109884,-173.55127159130652,767.5464575515725,-216.57920767416292,718.9925965314732,986.0712868681283,-990.4603699400013,-99.75757248998485,277.70534058692505,8.969164671237813 
 01/01  23:00:00,-6.625,0.0,0.0,-154.13353106066455,1471.1711454534434,-357.2990601983528,1255.620102022038,-177.46429188164066,913.0122905966518,-214.8864588127512,826.3995264409508,1002.8000923869793,-988.7219569793078,-106.8289148903587,229.2043477958494,8.874548907160934 
 01/01  24:00:00,-7.0,0.0,0.0,-167.56051997463857,1476.8585938543706,-356.59882847544515,1292.4872641223942,-181.96494180041154,934.9884344577852,-214.54905443506587,837.5695620432406,1022.3189798203946,-991.2246589777258,-111.39852975322333,150.17205734286466,8.74946576439805 
