Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),SOUTHWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),SOUTHWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),NORTHWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),NORTHWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),EASTWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),EASTWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),WESTWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),WESTWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),FLOORSURFACE:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),FLOORSURFACE:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),ROOFSURFACE:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),ROOFSURFACE:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,-4.5,0.0,0.0,-26.635976414171182,147.01676004315314,-57.41435736871904,144.50862984385026,-20.465410965750834,72.92623898201137,-26.870686303539344,72.1787333830473,382.6788955401398,-362.56034075300886,-252.78545830934047,226.7999999402648,15.349374912042538 
 01/01  02:00:00,-3.0,0.0,0.0,-28.13002856136984,146.93130209732078,-58.149374247638775,144.11353719040142,-21.02142936266972,72.92465263424174,-27.232586610788303,71.94764079754854,384.817545734355,-367.3052565660828,-251.82795188675786,118.92487990906352,15.330023979293152 
 01/01  03:00:00,-3.625,0.0,0.0,-30.576640068814186,164.95129893743197,-59.81666641315394,161.52101646245697,-22.01779470683465,81.28613454198725,-28.045371385175315,81.32203618573587,385.8885484790462,-371.44407426987345,-246.22100104780333,310.1093258311548,15.31764743966444 
 01/01  04:00:00,-2.75,0.0,0.0,-32.17775086933386,135.49345984559062,-60.61932132407992,133.95550997221827,-22.618310365002003,67.1912051689139,-28.4677414275302,66.83886012453875,388.5158353502429,-374.9512291063811,-246.16970421590486,28.889688020681206,15.298732204862795 
 01/01  05:00:00,-2.0,0.0,0.0,-35.96989397000675,135.58491071906474,-63.620994355939956,132.9669762289499,-24.238077312335406,67.1954064160985,-29.917296585377926,66.4781717663206,387.7261181597487,-378.07804758381553,-233.23692087204438,-115.44386598028461,15.296939998362776 
 01/01  06:00:00,-1.375,0.0,0.0,-40.91054383274491,130.91738839995864,-67.82583433664956,128.70915075501003,-26.438205204093435,64.78426496463253,-31.96347490020554,64.44530976044123,384.83998243425503,-380.45454003154737,-217.33046112273888,171.1289811632389,15.309299011758219 
 01/01  07:00:00,-1.0,0.0,0.0,-43.55969141331593,128.624745634226,-69.7004860139574,126.49575752990569,-27.55405141073919,63.657433099820565,-32.921099412241915,63.300798265105335,385.66956703145024,-381.73820169221744,-212.88813417368425,77.0965826611133,15.304849397503215 
 01/01  08:00:00,-1.0,18.9375,156.9375,-46.47003463710371,-39.19363517315688,-71.83241004492709,109.55240077619058,-28.775098439267367,-47.097216010440285,-33.98533743093657,54.62938302154272,385.9312231379354,-382.66077806043813,-204.70794872963023,-241.6159146234134,15.302520352439934 
 01/01  09:00:00,-0.375,80.5625,367.4375,-54.689262564373166,-92.14783822635982,-79.33958134004672,81.39405523168782,-32.501400649767504,-36.79915639368477,-37.571454567898684,40.51225072885414,377.4693588973132,-383.3583813551695,-167.83136518190287,-867.8530646274663,15.340238082291535 
 01/01  10:00:00,1.25,74.375,152.625,-64.65399735751498,-13.168455017569258,-88.7733584437018,66.67125162763318,-37.12930871933128,26.954744826225767,-42.13355938648988,33.4626750389735,365.49962248675547,-382.3311008178598,-129.91894619172515,-442.6879148957928,15.405732055833083 
 01/01  11:00:00,2.0,166.0,546.0,-77.70974188795333,-269.2960774446701,-101.61276093951108,36.96360505693142,-43.10016491493843,-27.45591435470798,-48.24613212753667,17.329279092122867,348.583211326938,-378.83364255499964,-68.21167272573275,-1747.8544355213282,15.480844952106668 
 01/01  12:00:00,1.375,195.0625,280.875,-92.27334808218609,47.193336761425066,-116.66800360344064,86.04583188106722,-49.91808464139535,65.3134499151794,-55.519161938019465,39.446976699985,327.5095623150828,-372.3596990889555,-9.912231597185837,988.2580529557135,15.593024724841541 
 01/01  13:00:00,2.25,200.125,92.75,-85.56631649183214,60.80211010787492,-110.92362668093597,58.11096181181902,-46.786050891862146,34.359524853621686,-52.98329133750866,21.75734588329,338.3434507349948,-362.96924390647473,-44.92126368785773,358.43352943574837,15.577282591327512 
