Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),SOUTHWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),SOUTHWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),NORTHWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),NORTHWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),EASTWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),EASTWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),WESTWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),WESTWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),FLOORSURFACE:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),FLOORSURFACE:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),ROOFSURFACE:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),ROOFSURFACE:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,-4.5,0.0,0.0,-24.72939211643748,187.6049146067742,-62.84146008147232,184.4327329938829,-21.12300386878637,93.09723934831561,-29.06250113874414,92.16900665488207,536.3043114779273,-500.40916669039177,-400.89156787781775,358.84706205913875,15.655259503767743 
 01/01  02:00:00,-3.0,0.0,0.0,-26.865072245484214,187.5357767246357,-64.07725461834005,183.99016013208777,-21.968326717284725,93.11732129914118,-29.67273953615006,91.9032110071052,539.5642660120217,-508.89607743107774,-399.3170032890715,191.0634143879868,15.634955343205526 
 01/01  03:00:00,-3.625,0.0,0.0,-30.3408941681829,210.01964412301103,-66.62824777179608,205.71895213985908,-23.441030167239703,103.56053093973522,-30.923482089715932,103.5932041259402,540.8036350641353,-516.1696805154406,-390.5318090744388,490.25015641350114,15.622667069326754 
 01/01  04:00:00,-2.75,0.0,0.0,-32.66492964031883,173.19012108809042,-68.00079348350778,171.21786498228948,-24.36698719344882,85.92647020063242,-31.63384769235755,85.47961201195902,544.8234698829865,-522.187816407579,-390.441357876149,50.82407831847675,15.603800925883945 
 01/01  05:00:00,-2.0,0.0,0.0,-38.02117018262152,173.32858764741493,-72.41086356492445,170.02864214911537,-26.719795541492317,85.94377423584302,-33.78016423954861,85.05085789830441,542.6529719365747,-527.4217545090067,-370.2619106159682,-173.7394592235985,15.603356884001204 
 01/01  06:00:00,-1.375,0.0,0.0,-45.01882525949185,167.34848446074272,-78.54603553163656,164.5559623557815,-29.903952226742447,82.85953060693683,-36.781168462206324,82.42964391753546,536.7306174593225,-531.220457956782,-345.4895527522722,272.42314704005963,15.619699621715707 
 01/01  07:00:00,-1.0,0.0,0.0,-48.89576649734636,164.5586001055637,-81.49382831389474,161.86036993101487,-31.592292513659785,81.48861069852609,-38.27781960533805,81.03657503428643,537.4561006900863,-532.9889503609309,-338.535752968147,126.49708624865745,15.617653359350784 
 01/01  08:00:00,-1.0,18.9375,156.9375,-53.037886656196065,-45.227122489917264,-84.6900102071335,140.65111288239973,-33.383130258274534,-56.95684034596341,-39.87653204656276,70.1778146792878,537.3233974579207,-534.0580117336074,-325.78197265278106,-371.3559242572927,15.617097165534496 
 01/01  09:00:00,-0.375,80.5625,367.4375,-64.66412753840018,-111.42111261002778,-95.46014262261522,105.44253486860532,-38.74498446229488,-44.09141746226163,-45.06845088398691,52.530105896146154,521.2074618931325,-534.7048741055119,-268.28654032117095,-1349.6529896870768,15.660398201510926 
 01/01  10:00:00,1.25,74.375,152.625,-78.7618694825646,-12.745851247576297,-108.9483907515222,87.00660443890034,-45.380624761560284,35.57206190464607,-51.63101931298655,43.70207224256018,499.10467142260586,-532.2060888174661,-209.19325664807732,-685.4863258509075,15.7371467053981 
 01/01  11:00:00,2.0,166.0,546.0,-97.33135262652567,-332.8795669274807,-127.26409299498116,49.89774761216185,-54.00528179471287,-32.42962497211191,-60.4346612147846,23.54557570814297,467.5374599639099,-525.2407946218555,-112.96450506997766,-2724.0726021386845,15.82179098192795 
 01/01  12:00:00,1.375,195.0625,280.875,-118.07619977736934,62.69506990533306,-148.65211345930234,111.24598376369704,-63.826961268439106,83.52536161788429,-70.8303578318025,51.18353546362071,429.2891120986724,-512.8660248246916,-22.09103399566885,1551.1098238152624,15.95124907423792 
 01/01  13:00:00,2.25,200.125,92.75,-109.08934040222817,79.67274381395579,-140.8477144717493,76.28823143256369,-59.579713052750805,44.815039918928434,-67.32518064247351,29.060308368116253,449.11660208469186,-495.29540719882164,-76.73663713196905,566.5314306456637,15.936966703258626 
 01/01  14:00:00,2.375,140.5625,15.0,-99.94713771300283,147.14758896934148,-133.7217061056309,117.4855217233656,-55.475866809515324,60.66678286596357,-64.02394310744761,55.970310353430285,465.049449104464,-483.01537844489104,-115.15617254437569,1202.4293791432203,15.909108513337344 
 01/01  15:00:00,1.375,63.5,0.75,-86.97041773892934,159.64247101966498,-123.21746818768361,145.73836078033298,-49.85557912381644,74.40336991656892,-59.08608900313823,74.42028649653707,486.15237348734865,-477.75538868235543,-174.30363410615334,1238.8211337703417,15.858789911368618 
 01/01  16:00:00,1.0,44.1875,31.875,-74.82909107002925,99.07942934070562,-113.29765223404834,136.37605547997288,-44.682016624315466,69.57007295557935,-54.3453032090607,42.724781582125814,505.0895581914759,-478.5319316232247,-223.27991180047138,508.8606324520081,15.798078548346954 
 01/01  17:00:00,0.375,8.4375,74.375,-68.37838075555695,157.35156486763424,-108.54728368146368,162.33923068161766,-42.15793848662031,82.45423817598618,-52.04739578279991,69.31763704664348,513.0688880533398,-483.7617257409718,-246.1771572659232,888.4996574265331,15.764879138551457 
 01/01  18:00:00,-0.625,0.0,0.0,-61.19305869037049,182.82894404067332,-102.36289448815612,169.36190702327372,-39.12699410090937,85.88818614438478,-49.0575918148712,90.93592376702851,524.2737186249783,-490.4569527633498,-277.5861368457591,688.8617444169889,15.721921985406395 
 01/01  19:00:00,-1.625,0.0,0.0,-55.85590600482519,185.04266412868753,-97.48540092049524,179.35547332209586,-36.83466598197171,90.81563023674678,-46.62738912566404,90.28693808178377,533.3821361126496,-498.0520780806401,-300.5651588141691,644.6447401249677,15.68231158793932 
