Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),SOUTHWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),SOUTHWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),NORTHWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),NORTHWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),EASTWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),EASTWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),WESTWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),WESTWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),FLOORSURFACE:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),FLOORSURFACE:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),ROOFSURFACE:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),ROOFSURFACE:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,-4.5,0.0,0.0,-17.615435104449546,110.16408889058873,-40.69029226535278,108.27372737754115,-18.94290370532235,72.88066335082601,-25.352121252001325,72.13732611590557,290.4794694333748,-275.64067779244897,-189.05950765230614,169.7082918135864,15.300006570922768 
 01/01  02:00:00,-3.0,0.0,0.0,-18.70390774113028,110.09194111000043,-41.21419890902587,107.96875836332526,-19.491729691085027,72.87424184043945,-25.704809720592266,71.90143754666606,292.22030205610804,-279.1343094814897,-188.33946227233577,88.72932717364546,15.279930541151264 
 01/01  03:00:00,-3.625,0.0,0.0,-20.458427959132536,123.60128002959243,-42.38883138932573,121.01836283122984,-20.457946689885148,81.23174680287775,-26.485523527134262,81.27235082744728,293.2285618413621,-282.2200879573527,-184.12611852614586,232.07056812273538,15.266442219314282 
 01/01  04:00:00,-2.75,0.0,0.0,-21.617040899957487,101.50150933860844,-42.9523962996156,100.33897551960303,-21.03972121717453,67.13316083299013,-26.887239435327842,66.78539210343328,295.33628266269557,-284.8799602226343,-184.07971604956623,21.149625504634287,15.246433532656663 
 01/01  05:00:00,-2.0,0.0,0.0,-24.312887936647513,101.56281841061715,-45.059889839347505,99.58937545921759,-22.599359988225046,67.13295653983818,-28.27498914265408,66.4200675849738,295.05005415831033,-287.2884605697993,-174.3657701150371,-87.19786545840427,15.243032564665045 
 01/01  06:00:00,-1.375,0.0,0.0,-27.804537333280678,98.06076397080548,-48.003084117258624,96.39507634440899,-24.696803952571372,64.72022740854297,-30.216455125269192,64.38578357950611,293.2902355672618,-289.1830252757493,-162.4119194079185,127.87156282200681,15.252811156756724 
 01/01  07:00:00,-1.0,0.0,0.0,-29.65683473185433,96.33237642524789,-49.27737009924334,94.72599837255433,-25.73539726139046,63.58820220507597,-31.09507502210704,63.23620418114102,294.1844916087007,-290.3208154972167,-159.06919424133903,57.23961842215701,15.246245146469073 
 01/01  08:00:00,-1.0,18.9375,156.9375,-31.777580148437522,-29.537323017698405,-50.81725011523474,82.01324849694154,-26.933893879721893,-47.1703241212131,-32.135356864702885,54.56157427668178,294.554425274054,-291.21844626562915,-152.92330167902645,-181.82000826016628,15.242148401074765 
 01/01  09:00:00,-0.375,80.5625,367.4375,-37.552134443119485,-69.25942591812314,-56.06123444649958,60.8884169610394,-30.483405734977396,-36.87598482865211,-35.54327423996915,40.44055486319773,288.90751091685047,-291.95345534821695,-125.23094094740058,-651.5306863236245,15.27652610574968 
 01/01  10:00:00,1.25,74.375,152.625,-44.57198350293575,-10.029541200506323,-62.6841333607548,49.84108502836107,-34.8836460787287,26.875070841997672,-39.8761237242972,33.38760129614392,280.7173686543774,-291.4807566077436,-96.76113017771031,-332.6584673893304,15.336557887763904 
