Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),SOUTHWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),SOUTHWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),NORTHWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),NORTHWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),EASTWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),EASTWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),WESTWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),WESTWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),FLOORSURFACE:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),FLOORSURFACE:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),ROOFSURFACE:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),ROOFSURFACE:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,-4.5,0.0,0.0,-12.752449423496074,110.15463306105528,-46.23754219105436,138.91230479380863,-18.079290289850512,83.17573046407861,-25.34561125626843,82.33942486628537,295.17698128994516,-279.61926355050537,-194.13346238580618,144.31666491481877,15.234694297118306 
 01/01  02:00:00,-3.0,0.0,0.0,-14.095044111064766,110.07194943344777,-47.29224911851247,138.46252185020566,-18.905060682909998,83.13079931082167,-25.95140454116461,82.03581523706829,296.65177164750503,-283.26739681759364,-191.55382028645417,63.33026269993144,15.216259773344964 
 01/01  03:00:00,-3.625,0.0,0.0,-15.969197240857739,123.57100090948009,-49.028865528505065,155.21101499500935,-20.116451135126567,92.69273066209723,-26.95569001056549,92.71157864493469,297.58388027461024,-286.4434783573306,-186.3293196299873,238.68838751981644,15.20368202198216 
 01/01  04:00:00,-2.75,0.0,0.0,-17.122199251440662,101.4606661391287,-49.76216000226237,128.6694346443416,-20.781719854131126,76.59951421314209,-27.41703344643151,76.20047666421979,299.8529133030622,-289.14209204746044,-186.17203453819133,1.8000221665417726,15.182501135721044 
 01/01  05:00:00,-2.0,0.0,0.0,-19.749110206161248,101.51094074934937,-52.47788183184764,127.73755179950979,-22.535399769208347,76.58990465847253,-28.976408157188377,75.7671750058163,299.8251611499211,-291.60599065913016,-175.75888377138685,-74.24501530754912,15.177858074028709 
 01/01  06:00:00,-1.375,0.0,0.0,-22.956701113790047,98.00054082936174,-55.98511802249271,123.66720384307418,-24.742511400977932,73.84738137872225,-31.00619886801217,73.4714115445382,298.6565641350501,-293.6024231726906,-164.00383417367163,124.6500626040775,15.183973027922324 
 01/01  07:00:00,-1.0,0.0,0.0,-24.77293185347264,96.26037187650675,-57.59634097704983,121.4163673931596,-25.905330143249447,72.52109387919185,-31.987398781793026,72.11234277423611,299.740998337737,-294.9331716408701,-160.25971473851365,54.46550069985405,15.175670660758247 
 01/01  08:00:00,-1.0,18.9375,156.9375,-26.90349458170067,-29.61970750525414,-59.64014971768503,105.42044426562893,-27.29169903668775,-53.22841556776293,-33.19432092103568,62.326939293283765,300.24081319879133,-296.05234482635524,-153.0338607192452,-391.56311137167813,15.170311616092128 
 01/01  09:00:00,-0.375,80.5625,367.4375,-34.47240034642772,-69.35252435028511,-69.02295456380789,78.5212847316145,-32.72992272613631,-41.65861005493895,-38.47752356399532,46.31153541608374,291.94934384441103,-296.9502293786022,-111.35940469524384,-915.9208929512381,15.221781715132705 
 01/01  10:00:00,1.25,74.375,152.625,-42.34018394309311,-10.132182093561504,-78.87583279903443,64.4631644401291,-38.45305827950553,30.879973645885354,-44.133797507639486,38.21833770257079,282.4652229326955,-296.16242900091856,-77.10117118643646,-275.61277157213226,15.29488217344278 
 01/01  11:00:00,2.0,166.0,546.0,-51.77052904475738,-202.2473066518316,-91.1609190283849,36.8201267665638,-45.20665404720211,-30.604920153098668,-51.04591360078179,20.02525554078642,270.8738204828644,-293.3319500010168,-23.466233091403247,-1801.756334027237,15.361502508517692 
 01/01  12:00:00,1.375,195.0625,280.875,-63.98920868224474,35.105099060105914,-107.72560496095323,83.44937939531974,-54.112072647375086,74.58615731524787,-60.472054976846366,45.05670160946504,253.5475097710496,-288.4398288168004,34.81728230798433,878.6530212205839,15.465093088150912 
 01/01  13:00:00,2.25,200.125,92.75,-58.12918345044707,45.297504227995816,-100.67978142555206,56.43888965792859,-49.72914686421554,39.243148651154236,-56.780738998027445,25.016744845821552,262.9661900478777,-281.1974181868136,0.340801824917107,532.3087529808332,15.459187339901154 
 01/01  14:00:00,2.375,140.5625,15.0,-51.38907712222587,85.77665691750852,-93.25948230250637,87.6379061902832,-44.95063760919441,53.6026256858316,-52.74673259775879,49.261316133272175,272.2290564399077,-276.2982024423666,-32.915765752253535,752.7550707663846,15.421274249129445 
 01/01  15:00:00,1.375,63.5,0.75,-43.30271771352935,93.26977378104803,-84.441856437702,109.01838699310083,-39.44925289992475,66.02897786747552,-47.87028460299195,66.05734421943934,282.5377959307036,-274.77698767796915,-71.93475454611391,697.5608260624813,15.361876605765236 
 01/01  16:00:00,1.0,44.1875,31.875,-36.535196879840754,56.93501345065606,-77.2577619648991,101.93629813889379,-35.004798961509124,61.66148199000384,-43.82463959835585,37.49290448714896,290.7531616974361,-276.0395954015421,-101.25077416825982,228.75605038280332,15.300415317253554 
 01/01  17:00:00,0.375,8.4375,74.375,-33.522516081167794,91.88841826100413,-74.66084328144785,121.6180072627902,-33.29174585912672,73.32448442406984,-42.320819059500984,61.408700064179854,293.38425615282176,-279.0732585464518,-111.41732437566951,453.472543699824,15.271719927001346 
 01/01  18:00:00,-0.625,0.0,0.0,-29.881524549605984,107.16614924186973,-70.65735322338675,127.11032003608524,-30.971374343398534,76.48509830299204,-40.04096798497986,81.06768864404262,297.7367143952565,-282.42169700270574,-129.15230086876755,386.9713449161745,15.23275550733321 
 01/01  19:00:00,-1.625,0.0,0.0,-26.919795128859647,108.48853599545549,-67.12367713289662,134.8185289535926,-29.017512843123477,80.98987840956913,-37.95693497433228,80.51802591497643,301.91285591200153,-285.91122864084673,-143.1358269908443,322.25484306027926,15.192852222136162 
 01/01  20:00:00,-3.25,0.0,0.0,-24.931068054290478,121.62811986092481,-64.59213276060407,151.97151578199367,-27.703637247667235,91.11009923712578,-36.393789837077,90.79947639918157,305.14915974827227,-289.57671096137665,-153.7213373097453,379.4672969492725,15.159401900229508 
 01/01  21:00:00,-4.625,0.0,0.0,-22.996605862895905,126.17534522550595,-61.84964730719466,158.39709996545483,-26.332135706261656,94.86672474496447,-34.721800654889094,94.24716140741855,308.99763906952194,-293.20477035775707,-165.58346549689318,353.63788375261606,15.122006958400824 
 01/01  22:00:00,-5.625,0.0,0.0,-21.48792016678945,131.05269544611508,-59.44723400906403,165.05903140487746,-25.184323344569844,98.7675670779431,-33.271340304762546,98.03826991565339,312.82965963594734,-296.84887575585685,-175.7797462486157,336.883744200339,15.084574599481952 
 01/01  23:00:00,-6.625,0.0,0.0,-20.443436044047814,136.7881478596293,-57.500938123031084,172.09897619559825,-24.313758970783866,102.92023129506578,-32.11558804993633,102.44416006385995,316.48028260467913,-300.5378104293661,-184.4065953114799,320.732720310986,15.04855100487925 
 01/01  24:00:00,-7.0,0.0,0.0,-19.867440392432826,134.37164690951568,-56.06779041600184,169.11765191563907,-23.742200528242613,101.11867620207497,-31.277992598995542,100.66288847039424,319.9067187183373,-304.22628953326625,-191.02585873067537,240.68052581061147,15.01430073269505 
 01/02  01:00:00,-8.25,0.0,0.0,-19.754354508213453,151.61043104584465,-55.18679469717782,192.25505819527075,-23.487960175609288,114.75217257184318,-30.777578226515914,113.92775035630098,323.0030401616614,-307.85785462228023,-196.01476012457474,465.32283688171367,14.983547399203799 
 01/02  02:00:00,-9.625,0.0,0.0,-18.139268037498596,162.3521657306677,-52.21932585208055,205.79633040879992,-22.088921287625702,122.7600722357836,-29.137411438312697,122.13138745025219,328.9426405046247,-311.4211448022845,-211.3725771985774,607.276315110832,14.932873742523448 
 01/02  03:00:00,-10.0,0.0,0.0,-15.702918435698763,152.81411935000398,-48.099669679622714,193.65689814188366,-20.038174708060918,115.53644999459024,-26.843086134757137,114.91971897150836,336.74527463183745,-315.399732818184,-230.18304073341156,367.0406062837479,14.865617616564538 
 01/02  04:00:00,-10.625,0.0,0.0,-15.27264049625191,157.85598344756272,-46.70524358017039,200.12000383298127,-19.48003537810166,119.26774348808321,-26.063023386180067,118.85233083452425,341.5423427755484,-320.14270428083273,-236.303999027665,193.91600087608015,14.817941847303757 
