Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),SOUTHWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),SOUTHWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),NORTHWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),NORTHWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),EASTWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),EASTWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),WESTWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),WESTWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),FLOORSURFACE:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),FLOORSURFACE:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),ROOFSURFACE_SOUTH:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),ROOFSURFACE_SOUTH:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),ROOFSURFACE_NORTH:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),ROOFSURFACE_NORTH:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,-4.5,0.0,0.0,-16.19091190389659,110.05739010441202,-39.21231884585865,108.16341850666674,-19.78915177768858,79.26400678435814,-26.68664387543169,78.47489296090225,295.52341819560525,-280.10936579556005,-97.9697768510996,71.65673282517476,-96.92444431974461,82.98286320563413,15.228878444300367 
 01/01  02:00:00,-3.0,0.0,0.0,-17.458978293267705,109.98110705220171,-39.9297236183985,107.85378894333513,-20.51646971474736,79.20381721774561,-27.205467496947325,78.17047626270053,296.97595265695963,-283.7298103453404,-96.61906638322455,31.69472729985756,-96.35156826903548,38.13885937443477,15.210949848551468 
 01/01  03:00:00,-3.625,0.0,0.0,-19.386991336998506,123.48844338171685,-41.295281721216895,120.90101123979863,-21.699323157119625,88.3536790777809,-28.192291134824572,88.35197603485469,297.6884823822795,-286.86963779998086,-93.99468682393058,120.34371365553594,-93.8382331840755,112.87595666417509,15.200427419006864 
 01/01  04:00:00,-2.75,0.0,0.0,-20.58698359858539,101.38560207897387,-41.909544605490055,100.21960136252237,-22.363671477229897,73.01112946250251,-28.66426711660759,72.62904897128561,299.75399012897174,-289.5031551013378,-93.91340080397228,0.8076938465447547,-93.66097506579885,16.619242765990577,15.18118780135617 
 01/01  05:00:00,-2.0,0.0,0.0,-23.210196461139788,101.44281733226701,-43.95263828203949,99.46505146450457,-24.01932099081291,73.00622760947925,-30.136042662464497,72.21525305803203,299.58996764951917,-291.8681506125131,-88.70116478050717,-37.02871612840833,-88.96983440697973,-35.87404236552772,15.178981326418386 
 01/01  06:00:00,-1.375,0.0,0.0,-26.573743127583725,97.94210323618262,-46.77896216353423,96.27232380509491,-26.224129613082418,70.40933148387265,-32.17474782920019,70.05491708444255,298.0005970865018,-293.7474605246921,-82.82019360466661,62.158764053286475,-83.19513659935794,61.78522795457535,15.18962610822255 
 01/01  07:00:00,-1.0,0.0,0.0,-28.510132404122942,96.20806817189765,-48.143490273036775,94.59754198031183,-27.413804961508482,69.13019043891428,-33.19279515807065,68.73541712692597,298.7790527319037,-294.9072973745215,-80.90528395799973,27.6110793256275,-81.41762636043862,28.043414252927725,15.184264663511575 
 01/01  08:00:00,-1.0,18.9375,156.9375,-30.62297475593124,-29.664407380890136,-49.680125698995624,81.88255467820194,-28.71546265632549,-50.33934350212693,-34.32425357279894,59.49416328988223,299.1791315876526,-295.8160901301733,-77.1316812775491,-225.42026068032078,-78.4429891514992,-26.151562529083336,15.18139842124729 
 01/01  09:00:00,-0.375,80.5625,367.4375,-36.69178060892074,-69.38965318867457,-55.23252803344636,60.754859066870864,-32.81069515161728,-39.41938390894924,-38.26988462340831,44.30017672613915,293.00945300462604,-296.54398115254367,-54.32483266217797,-493.9645514655747,-71.21434601032804,-114.28060097969582,15.222837782432626 
 01/01  10:00:00,1.25,74.375,152.625,-43.32451092913806,-10.161208627296048,-61.4786204756696,49.70551342476344,-37.35422097284632,29.625319953900025,-42.74286991893894,36.55888099938051,285.3456700282443,-295.9978360778023,-36.34526865164375,-131.27028054472643,-62.38466365669359,-189.38282876978025,15.283716528816337 
